
AP@25 (mean +/- std)
Disease                                    | aNBR             | rNBR             | RWR              | DK               | DK*              | QA0              | QA1              | QA*              | DIAMOND          | GCN             
multiple sclerosis                         | 0.06 +/- 0.06    | 0.0588 +/- 0.0000 | 0.06 +/- 0.06    | 0.15 +/- 0.03    | 0.15 +/- 0.03    | 0.09 +/- 0.03    | 0.12 +/- 0.06    | 0.12 +/- 0.06    | 0.0588 +/- 0.0000 | 0.09 +/- 0.09   
muscular dystrophies                       | 0.2 +/- 0.2      | 0.2 +/- 0.2      | 0.3 +/- 0.2      | 0.3 +/- 0.2      | 0.3 +/- 0.2      | 0.2 +/- 0.1      | 0.2 +/- 0.1      | 0.2 +/- 0.1      | 0.2 +/- 0.2      | 0.3 +/- 0.2     
mycobacterium infections                   | 0.5 +/- 0.3      | 0.1 +/- 0.1      | 0.3 +/- 0.1      | 0.1 +/- 0.1      | 0.1 +/- 0.1      | 0.3 +/- 0.1      | 0.3 +/- 0.1      | 0.3 +/- 0.1      | 0.1 +/- 0.1      | 0.4000 +/- 0.0000
myeloproliferative disorders               | 0.6000 +/- 0.0000 | 0.2000 +/- 0.0000 | 0.6000 +/- 0.0000 | 0.2000 +/- 0.0000 | 0.2000 +/- 0.0000 | 0.3 +/- 0.1      | 0.5 +/- 0.1      | 0.3 +/- 0.1      | 0.4000 +/- 0.0000 | 0.4000 +/- 0.0000
nutritional and metabolic diseases         | 0.051 +/- 0.003  | 0.0476 +/- 0.0000 | 0.11 +/- 0.01    | 0.08 +/- 0.02    | 0.08 +/- 0.02    | 0.09 +/- 0.02    | 0.12 +/- 0.02    | 0.10 +/- 0.01    | 0.095 +/- 0.007  | 0.11 +/- 0.01   
peroxisomal disorders                      | 0.8000 +/- 0.0000 | 0.9 +/- 0.1      | 0.9 +/- 0.1      | 0.8 +/- 0.2      | 0.9 +/- 0.1      | 0.9 +/- 0.1      | 0.9 +/- 0.1      | 0.9 +/- 0.1      | 0.8 +/- 0.2      | 0.9 +/- 0.1     
psoriasis                                  | 0.1538 +/- 0.0000 | 0.12 +/- 0.04    | 0.19 +/- 0.04    | 0.12 +/- 0.04    | 0.12 +/- 0.04    | 0.0769 +/- 0.0000 | 0.27 +/- 0.04    | 0.2308 +/- 0.0000 | 0.31 +/- 0.08    | 0.19 +/- 0.04   
purine-pyrimidine metabolism inborn errors | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.1 +/- 0.1      | 0.1 +/- 0.1      | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000
renal tubular transport inborn errors      | 0.31 +/- 0.06    | 0.31 +/- 0.06    | 0.31 +/- 0.06    | 0.5000 +/- 0.0000 | 0.5000 +/- 0.0000 | 0.5000 +/- 0.0000 | 0.5000 +/- 0.0000 | 0.5000 +/- 0.0000 | 0.3750 +/- 0.0000 | 0.44 +/- 0.06   
sarcoma                                    | 0.0000 +/- 0.0000 | 0.1667 +/- 0.0000 | 0.1667 +/- 0.0000 | 0.25 +/- 0.08    | 0.25 +/- 0.08    | 0.25 +/- 0.08    | 0.1667 +/- 0.0000 | 0.25 +/- 0.08    | 0.2 +/- 0.2      | 0.25 +/- 0.08   
spastic paraplegia hereditary              | 0.0000 +/- 0.0000 | 0.2000 +/- 0.0000 | 0.2000 +/- 0.0000 | 0.2000 +/- 0.0000 | 0.2000 +/- 0.0000 | 0.2000 +/- 0.0000 | 0.2000 +/- 0.0000 | 0.2000 +/- 0.0000 | 0.2000 +/- 0.0000 | 0.4 +/- 0.2     
spinocerebellar ataxias                    | 0.07 +/- 0.07    | 0.07 +/- 0.07    | 0.07 +/- 0.07    | 0.07 +/- 0.07    | 0.07 +/- 0.07    | 0.07 +/- 0.07    | 0.07 +/- 0.07    | 0.07 +/- 0.07    | 0.07 +/- 0.07    | 0.07 +/- 0.07   
spinocerebellar degenerations              | 0.07 +/- 0.07    | 0.07 +/- 0.07    | 0.07 +/- 0.07    | 0.07 +/- 0.07    | 0.07 +/- 0.07    | 0.07 +/- 0.07    | 0.07 +/- 0.07    | 0.07 +/- 0.07    | 0.0000 +/- 0.0000 | 0.07 +/- 0.07   
spondylarthropathies                       | 0.1 +/- 0.1      | 0.1 +/- 0.1      | 0.2500 +/- 0.0000 | 0.2500 +/- 0.0000 | 0.2500 +/- 0.0000 | 0.2500 +/- 0.0000 | 0.2500 +/- 0.0000 | 0.1 +/- 0.1      | 0.2 +/- 0.2      | 0.1 +/- 0.1     
tauopathies                                | 0.1111 +/- 0.0000 | 0.06 +/- 0.06    | 0.17 +/- 0.06    | 0.06 +/- 0.06    | 0.06 +/- 0.06    | 0.0000 +/- 0.0000 | 0.06 +/- 0.06    | 0.1111 +/- 0.0000 | 0.17 +/- 0.06    | 0.17 +/- 0.06   
uveal diseases                             | 0.1 +/- 0.1      | 0.2500 +/- 0.0000 | 0.5 +/- 0.2      | 0.1 +/- 0.1      | 0.1 +/- 0.1      | 0.2 +/- 0.2      | 0.2 +/- 0.2      | 0.2 +/- 0.2      | 0.1 +/- 0.1      | 0.1 +/- 0.1     
varicose veins                             | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000
vasculitis                                 | 0.2 +/- 0.2      | 0.0000 +/- 0.0000 | 0.5 +/- 0.2      | 0.3333 +/- 0.0000 | 0.3333 +/- 0.0000 | 0.5 +/- 0.2      | 0.5 +/- 0.2      | 0.5 +/- 0.2      | 0.2 +/- 0.2      | 0.5 +/- 0.2     
